mode,seq,arrival_timestamp,esp_time_ms,raw_value,filtered_cloud,filtered_edge,cloud_processing_ms,edge_processing_ms,arrival_interval_ms,sender_ip,sender_port
B,120,1777386904.1032453,6050.0,-0.797781,,-0.869778,0.0,24.422001,70.67537307739258,192.168.100.219,1235
B,121,1777386904.1468413,6100.0,1.036438,,-0.563721,0.0,24.618,43.59602928161621,192.168.100.219,1235
B,122,1777386904.1804948,6150.0,1.273299,,-0.269474,0.0,24.570999,33.65349769592285,192.168.100.219,1235
B,123,1777386904.2415655,6200.0,0.747758,,-0.099704,0.0,24.465,61.07068061828613,192.168.100.219,1235
B,124,1777386904.2903044,6250.0,0.948912,,0.065583,0.0,24.51,48.738956451416016,192.168.100.219,1235
B,125,1777386904.372981,6300.0,1.511847,,0.283865,0.0,24.629,82.67664909362793,192.168.100.219,1235
B,126,1777386904.3945,6350.0,2.2054,,0.550244,0.0,24.587,21.518945693969727,192.168.100.219,1235
B,127,1777386904.4383621,6400.0,1.0641,,0.615014,0.0,24.412001,43.862104415893555,192.168.100.219,1235
B,128,1777386904.492595,6450.0,2.297552,,0.842753,0.0,24.611,54.23283576965332,192.168.100.219,1235
B,129,1777386904.5401466,6500.0,2.744553,,1.090254,0.0,24.548,47.551631927490234,192.168.100.219,1235
B,130,1777386904.5905921,6550.0,2.078679,,1.217302,0.0,24.569,50.445556640625,192.168.100.219,1235
B,131,1777386904.6371765,6600.0,1.767312,,1.283944,0.0,24.431,46.584367752075195,192.168.100.219,1235
B,132,1777386904.6921663,6650.0,2.274983,,1.416344,0.0,24.528999,54.98981475830078,192.168.100.219,1235
B,133,1777386904.7381935,6700.0,0.829404,,1.335205,0.0,24.391001,46.027183532714844,192.168.100.219,1235
B,134,1777386904.7926214,6750.0,2.286959,,1.476582,0.0,24.417999,54.4278621673584,192.168.100.219,1235
B,135,1777386904.840361,6800.0,0.273077,,1.287361,0.0,24.57,47.73974418640137,192.168.100.219,1235
B,136,1777386904.8882923,6850.0,0.20543,,1.104963,0.0,24.455999,47.93119430541992,192.168.100.219,1235
B,137,1777386904.938422,6900.0,2.512477,,1.347723,0.0,24.612,50.12965202331543,192.168.100.219,1235
B,138,1777386904.9918194,6950.0,0.099001,,1.12725,0.0,24.525999,53.397417068481445,192.168.100.219,1235
B,139,1777386905.054406,7000.0,0.619199,,1.035188,0.0,24.423,62.58654594421387,192.168.100.219,1235
B,140,1777386905.091607,7050.0,0.589002,,0.954571,0.0,24.424999,37.2011661529541,192.168.100.219,1235
B,141,1777386905.1425414,7100.0,-1.070156,,0.579108,0.0,24.528,50.9343147277832,192.168.100.219,1235
B,142,1777386905.1894922,7150.0,-2.731634,,-0.006893,0.0,24.594999,46.9508171081543,192.168.100.219,1235
B,143,1777386905.2466626,7200.0,-0.705919,,-0.118415,0.0,24.452,57.17039108276367,192.168.100.219,1235
B,144,1777386905.2816525,7250.0,-2.827543,,-0.439544,0.0,24.525999,34.98983383178711,192.168.100.219,1235
B,145,1777386905.3313422,7300.0,-0.896638,,-0.494051,0.0,24.368,49.68976974487305,192.168.100.219,1235
B,146,1777386905.3910031,7350.0,-2.771846,,-0.789377,0.0,24.632999,59.660911560058594,192.168.100.219,1235
B,147,1777386905.4462223,7400.0,-2.45941,,-1.055051,0.0,24.454,55.219173431396484,192.168.100.219,1235
B,148,1777386905.4872224,7450.0,-1.449613,,-1.113482,0.0,24.374001,41.0001277923584,192.168.100.219,1235
B,149,1777386905.544812,7500.0,-2.521319,,-1.390904,0.0,24.507,57.58953094482422,192.168.100.219,1235
B,150,1777386905.5963235,7550.0,-1.931564,,-1.498971,0.0,24.427,51.511526107788086,192.168.100.219,1235
B,151,1777386905.6472816,7600.0,-2.646027,,-1.731488,0.0,24.481001,50.95815658569336,192.168.100.219,1235
B,152,1777386905.688495,7650.0,-0.656427,,-1.509666,0.0,24.507999,41.213274002075195,192.168.100.219,1235
B,153,1777386905.7390847,7700.0,-1.966444,,-1.605444,0.0,24.424999,50.589799880981445,192.168.100.219,1235
B,154,1777386905.791904,7750.0,-0.336771,,-1.373227,0.0,24.548,52.819252014160156,192.168.100.219,1235
B,155,1777386905.8490472,7800.0,-0.99826,,-1.298538,0.0,24.315001,57.143211364746094,192.168.100.219,1235
B,156,1777386905.902931,7850.0,-0.880221,,-1.224903,0.0,24.426001,53.88379096984863,192.168.100.219,1235
B,157,1777386905.943062,7900.0,0.225378,,-0.954069,0.0,24.528,40.1310920715332,192.168.100.219,1235
B,158,1777386905.9901574,7950.0,-1.003524,,-0.960317,0.0,24.316,47.095298767089844,192.168.100.219,1235
B,159,1777386906.0447323,8000.0,-1.202926,,-1.002109,0.0,24.304001,54.57496643066406,192.168.100.219,1235
B,160,1777386906.0918338,8050.0,-0.869879,,-0.980004,0.0,24.351,47.101497650146484,192.168.100.219,1235
B,161,1777386906.1402938,8100.0,0.262687,,-0.747517,0.0,24.584,48.46000671386719,192.168.100.219,1235
B,162,1777386906.19118,8150.0,0.200651,,-0.577649,0.0,24.540001,50.88615417480469,192.168.100.219,1235
B,163,1777386906.3240561,8200.0,-0.138426,,-0.503762,0.0,24.479,132.87615776062012,192.168.100.219,1235
B,164,1777386906.324656,8250.0,1.319817,,-0.173145,0.0,24.530001,0.5998611450195312,192.168.100.219,1235
B,165,1777386906.3423014,8300.0,1.083649,,0.047506,0.0,24.548,17.64535903930664,192.168.100.219,1235
B,166,1777386906.3810778,8350.0,0.668088,,0.145512,0.0,24.415001,38.776397705078125,192.168.100.219,1235
B,167,1777386906.4338522,8400.0,0.64667,,0.23519,0.0,24.35,52.77442932128906,192.168.100.219,1235
B,168,1777386906.4824383,8450.0,1.809421,,0.517385,0.0,24.596001,48.586130142211914,192.168.100.219,1235
B,169,1777386906.5311544,8500.0,1.775832,,0.73507,0.0,24.535,48.716068267822266,192.168.100.219,1235
B,170,1777386906.5929413,8550.0,1.329448,,0.831913,0.0,24.450001,61.78689002990723,192.168.100.219,1235
B,171,1777386906.6391444,8600.0,1.528343,,0.950765,0.0,24.431999,46.2031364440918,192.168.100.219,1235
B,172,1777386906.6822824,8650.0,0.985514,,0.952894,0.0,24.378,43.13802719116211,192.168.100.219,1235
B,173,1777386906.7456594,8700.0,1.319143,,1.017111,0.0,24.323999,63.37690353393555,192.168.100.219,1235
B,174,1777386906.7834005,8750.0,1.111807,,1.022968,0.0,24.48,37.74118423461914,192.168.100.219,1235
B,175,1777386906.8316057,8800.0,0.836612,,0.990134,0.0,24.329,48.20513725280762,192.168.100.219,1235
