mode,seq,arrival_timestamp,esp_time_ms,raw_value,filtered_cloud,filtered_edge,cloud_processing_ms,edge_processing_ms,arrival_interval_ms,sender_ip,sender_port
A,95,1777386801.0932484,4800.0,1.154142,1.4511243273868388,0.0,1.2441429998943931,0.0,40.29369354248047,192.168.100.219,1235
A,96,1777386801.14373,4850.0,1.446031,1.446901974584439,0.0,1.1064840000472032,0.0,50.481557846069336,192.168.100.219,1235
A,97,1777386801.1929338,4900.0,1.541365,1.4617251203767663,0.0,1.0342270002183795,0.0,49.20387268066406,192.168.100.219,1235
A,98,1777386801.2425482,4950.0,-0.206586,1.210097871852469,0.0,1.0478029998921556,0.0,49.61442947387695,192.168.100.219,1235
A,99,1777386801.2943256,5000.0,-0.026801,1.0205219021250658,0.0,0.8190019998437492,0.0,51.77736282348633,192.168.100.219,1235
A,100,1777386801.3424287,5050.0,-0.245378,0.8207348183784825,0.0,1.1788500000875501,0.0,48.10309410095215,192.168.100.219,1235
A,101,1777386801.396199,5100.0,0.827031,0.8217148587554526,0.0,0.8601499998803774,0.0,53.77030372619629,192.168.100.219,1235
A,102,1777386801.442165,5150.0,-2.71071,0.2650913228141037,0.0,1.1901910002052318,0.0,45.96590995788574,192.168.100.219,1235
A,103,1777386801.49817,5200.0,-0.332639,0.17677105068028942,0.0,0.8473560001220903,0.0,56.005001068115234,192.168.100.219,1235
A,104,1777386801.5433583,5250.0,0.056772,0.1563320336111009,0.0,0.9275970000999223,0.0,45.18842697143555,192.168.100.219,1235
A,105,1777386801.6051664,5300.0,-2.69414,-0.3332070930608415,0.0,1.6835609999361623,0.0,61.808109283447266,192.168.100.219,1235
A,106,1777386801.6425433,5350.0,-0.477933,-0.36546483477647695,0.0,0.8191319998331892,0.0,37.37688064575195,192.168.100.219,1235
A,107,1777386801.6944592,5400.0,-1.863891,-0.6346214360281353,0.0,0.8919800002331613,0.0,51.915884017944336,192.168.100.219,1235
A,108,1777386801.7437158,5450.0,-1.937321,-0.8336870018663847,0.0,0.8500010003444913,0.0,49.25656318664551,192.168.100.219,1235
A,109,1777386801.7941194,5500.0,-1.200504,-0.8893989107248232,0.0,0.8258359998762899,0.0,50.403594970703125,192.168.100.219,1235
A,110,1777386801.843032,5550.0,-2.486864,-1.145115224017656,0.0,1.4651790002062626,0.0,48.91252517700195,192.168.100.219,1235
A,111,1777386801.8922703,5600.0,-2.134093,-1.295542496927888,0.0,0.839431000258628,0.0,49.23844337463379,192.168.100.219,1235
A,112,1777386801.94324,5650.0,-1.844111,-1.3763482347298055,0.0,0.8910680003282323,0.0,50.969600677490234,192.168.100.219,1235
A,113,1777386801.9927855,5700.0,-1.159473,-1.341929009928997,0.0,0.8709499998076353,0.0,49.5455265045166,192.168.100.219,1235
A,114,1777386802.0427127,5750.0,-1.461673,-1.3642494937721819,0.0,0.8979809999800636,0.0,49.9272346496582,192.168.100.219,1235
